cluster,windows,anomaly_windows,anomaly_rate,reconstruction_mse_median,distance_to_center_median
0,70,1,0.014285714285714285,0.13111426999999998,17.783333
1,557,9,0.01615798922800718,0.19177143,12.058676
2,103,2,0.019417475728155338,0.14162087,15.411433
3,225,0,0.0,0.14727014,12.692226
