rank,window_start,window_end,split,reconstruction_mse,dominant_anomalous_feature,resampled_points,median_supply_temp_c,median_return_temp_c,median_stabilized_flow_log_feature,supply_temp_c_reconstruction_mse,return_temp_c_reconstruction_mse,stabilized_flow_log_feature_reconstruction_mse,median_delta_t_c,min_delta_t_c,low_delta_t_anomaly_points,has_low_delta_t_overlap
1,2024-09-22 22:45:00,2024-09-23 22:45:00,train,1.099381,stabilized_flow_log_feature,96,48.84749984741211,48.040000915527344,0.5548406786471405,1.0743883,0.5391533,1.6846017,0.5600013732910156,-1.9300003051757812,0,False
2,2024-03-20 10:45:00,2024-03-21 10:45:00,train,1.0357441,return_temp_c,96,79.66000366210938,71.36000061035156,0.5027796964374063,1.1546057,1.8297094,0.12291696,7.459999084472656,1.1999969482421875,0,False
3,2024-09-22 10:45:00,2024-09-23 10:45:00,train,0.97991776,stabilized_flow_log_feature,96,48.619998931884766,47.84000015258789,0.5718385021343595,1.0386871,0.40580988,1.4952561,0.5799980163574219,-1.9300003051757812,0,False
4,2024-09-21 22:45:00,2024-09-22 22:45:00,train,0.8949248,stabilized_flow_log_feature,96,48.91999816894531,47.78249931335449,0.5785680788213619,0.8180597,0.32582295,1.5408918,0.5600013732910156,-4.569999694824219,0,False
5,2024-09-23 10:45:00,2024-09-24 10:45:00,train,0.77319616,stabilized_flow_log_feature,96,78.38999938964844,70.31999969482422,0.3415868203392187,0.60830534,0.62209874,1.0891844,7.94000244140625,-1.4599990844726562,0,False
6,2024-09-21 10:45:00,2024-09-22 10:45:00,train,0.51242304,stabilized_flow_log_feature,96,65.92999935150146,61.97999954223633,0.5269626611689634,0.41481963,0.15463775,0.96781176,4.299999237060547,-4.569999694824219,0,False
