epoch,train_loss
1,1.0278301409312658
2,0.916839565549578
3,0.7246302706854684
4,0.4998060699020113
5,0.3647593536547252
6,0.2911327268396105
7,0.24180773113455092
8,0.20457494258880615
9,0.1777225402849061
10,0.15698911888258799
