model_label,stem,model_scope,features,windows,train_windows,test_windows,threshold_train_p99,flagged_windows,flagged_train_windows,flagged_test_windows,flagged_window_rate,overlap_with_joint_flagged_windows,overlap_with_joint_rate,median_reconstruction_mse,p99_reconstruction_mse,top_flagged_window_start,top_flagged_window_mse
joint,cons_abat_oliba_stabilized_log,joint,"supply_temp_c, return_temp_c, stabilized_flow_log_feature",955,764,191,0.3080945909023285,12,8,4,0.012565445026178011,12,1.0,0.18059123,0.3116481712000001,2025-03-02 18:45:00,0.38521242
supply_temp_c,cons_abat_oliba_stabilized_log__supply_temp_c,univariate,supply_temp_c,955,764,191,0.1164001673460006,8,8,0,0.008376963350785341,2,0.25,0.012835159,0.10319784010000002,2024-09-23 06:45:00,0.19949313
return_temp_c,cons_abat_oliba_stabilized_log__return_temp_c,univariate,return_temp_c,955,764,191,0.0703690648078918,9,8,1,0.009424083769633508,3,0.3333333333333333,0.015651586,0.06414581420000001,2024-09-23 06:45:00,0.16504185
stabilized_flow_log_feature,cons_abat_oliba_stabilized_log__stabilized_flow_log_feature,univariate,stabilized_flow_log_feature,955,764,191,0.6034632325172424,8,8,0,0.008376963350785341,0,0.0,0.13000266,0.5812908218000004,2024-09-06 18:45:00,0.6677914
