cluster,windows,anomaly_windows,anomaly_rate,supply_median,return_median,flow_median,delta_t_median,delta_t_p05,active_fraction_mean
0,3352,47,0.014021479713603818,79.03899383544922,71.5,0.813258022069931,7.14000129699707,2.0312557220458984,0.9958333333333332
1,321,2,0.006230529595015576,78.0250015258789,45.35499954223633,0.05928361043334007,29.900001525878906,20.227497100830078,0.7937499999999998
2,1774,3,0.0016910935738444193,79.25500106811523,67.3499984741211,0.3042563498020172,11.445000648498535,5.571249008178711,1.0
3,1188,54,0.045454545454545456,75.25,65.52750015258789,0.8970449268817902,8.345000267028809,3.019998550415039,0.9930555555555557
