rank,window_start,window_end,split,reconstruction_mse,dominant_anomalous_feature,resampled_points,median_supply_temp_c,median_return_temp_c,median_derived_flow_kg_s,supply_temp_c_reconstruction_mse,return_temp_c_reconstruction_mse,derived_flow_kg_s_reconstruction_mse,median_delta_t_c,min_delta_t_c,low_delta_t_anomaly_points,has_low_delta_t_overlap
1,2024-04-03 18:45:00,2024-04-04 18:45:00,train,4.694052,supply_temp_c,96,66.89416535695395,44.829999923706055,0.11471825237971033,8.82238,2.168154,3.091623,14.130001068115234,-2.3799972534179688,125,True
2,2024-10-25 18:45:00,2024-10-26 18:45:00,test,2.8094702,return_temp_c,96,78.12999725341797,29.950000762939453,0.0037322067933800497,0.15675987,6.9335103,1.338139,47.97999954223633,26.299999237060547,0,False
3,2024-04-03 06:45:00,2024-04-04 06:45:00,train,2.6582835,supply_temp_c,96,72.10000228881836,44.19499969482422,0.07137957966173766,4.9527783,1.2159806,1.8060919,26.05499839782715,-2.3799972534179688,75,True
4,2024-04-04 06:45:00,2024-04-05 06:45:00,train,2.4812207,supply_temp_c,96,76.66999816894531,55.64499855041504,0.043824525519510396,4.370688,1.5609633,1.5120106,23.950000762939453,-2.049999237060547,50,True
