cluster,windows,anomaly_windows,anomaly_rate,reconstruction_mse_median,distance_to_center_median
0,49,1,0.02040816326530612,0.34404188,1.5464667
1,122,0,0.0,0.42341283500000004,1.5359598
2,116,0,0.0,0.38748312,1.3050835
3,36,3,0.08333333333333333,0.8872486500000001,2.6043077
