cluster,windows,anomaly_windows,anomaly_rate,reconstruction_mse_median,distance_to_center_median
0,61,1,0.01639344262295082,0.489611,12.730829
1,117,1,0.008547008547008548,0.35563025,13.05628
2,107,0,0.0,0.40680492,13.253568
3,38,2,0.05263157894736842,0.67309128,17.08997
