rank,window_start,window_end,split,reconstruction_mse,dominant_anomalous_feature,resampled_points,median_supply_temp_c,median_return_temp_c,median_derived_flow_kg_s,supply_temp_c_reconstruction_mse,return_temp_c_reconstruction_mse,derived_flow_kg_s_reconstruction_mse,median_delta_t_c,min_delta_t_c,low_delta_t_anomaly_points,has_low_delta_t_overlap
1,2025-02-28 18:45:00,2025-03-01 18:45:00,train,4.099679,derived_flow_kg_s,96,63.3650016784668,57.28000068664551,4.410260231076794,1.4171276,0.8343382,10.04757,7.279998779296875,-7.1100006103515625,0,False
2,2025-02-28 06:45:00,2025-03-01 06:45:00,train,4.0019603,derived_flow_kg_s,96,71.91999816894531,63.07000160217285,4.035520359398214,1.342216,0.7045755,9.959089,8.099998474121094,-7.1100006103515625,0,False
3,2025-01-20 18:45:00,2025-01-21 18:45:00,train,2.6157913,derived_flow_kg_s,96,82.98999786376953,70.37999725341797,3.447825302661114,0.41316465,0.28406045,7.150149,10.779998779296875,-7.260002136230469,0,False
4,2025-01-20 06:45:00,2025-01-21 06:45:00,train,2.5362227,derived_flow_kg_s,96,79.4950008392334,65.30999755859375,3.6125890528815656,0.17408158,0.1571041,7.2774825,8.930000305175781,-3.6800003051757812,0,False
5,2025-03-06 06:45:00,2025-03-07 06:45:00,train,0.7317794,derived_flow_kg_s,96,80.44499969482422,68.05999755859375,3.8656598584734216,0.2518603,0.26275322,1.680725,8.384998321533203,1.9300003051757812,0,False
6,2025-03-05 18:45:00,2025-03-06 18:45:00,train,0.6869936,derived_flow_kg_s,96,72.96999740600586,61.540000915527344,3.75721764527224,0.2166843,0.21518733,1.629109,10.539997100830078,1.9300003051757812,0,False
