sheet,active_rows,median_power_raw,median_delta_t_c,implied_scale_to_target_flow,median_flow_if_W,median_flow_if_10W,median_flow_if_100W,median_flow_if_kW,median_flow_if_10kW
cons_abat_oliba,67207,30.0,3.919998199999995,819.279623799999,0.0020334928229665144,0.020334928229665143,0.20334928229665147,2.033492822966515,20.334928229665145
cons_hostatgeria_DHW_radiators,258918,30.6,5.459999084472656,1118.764518289005,0.001410079680024972,0.014100796800249718,0.14100796800249715,1.4100796800249717,14.100796800249718
cons_hostatgeria_underfloor_hea,123461,10.9,32.459999084472656,18671.944427490234,8.17895501403921e-05,0.000817895501403921,0.008178955014039209,0.0817895501403921,0.817895501403921
cons_nostra_senyora,265570,1.0,9.770004272460938,61257.92678833008,2.1404320026966303e-05,0.00021404320026966302,0.0021404320026966305,0.0214043200269663,0.214043200269663
