sheet,window_start,split,flow_feature_mode,reconstruction_mse,dominant_anomalous_feature,supply_median,supply_std,return_median,return_std,flow_median,flow_std,delta_t_median,delta_t_p05,delta_t_min,active_fraction_mean,supply_temp_c_reconstruction_mse,return_temp_c_reconstruction_mse,stabilized_flow_log_feature_reconstruction_mse,anomaly_cluster,distance_to_center,pca_1,pca_2
cons_abat_cisneros,2024-08-08 18:45:00,train,stabilized_log,0.33831108,stabilized_flow_log_feature,60.32500076293945,10.02434253692627,53.46500015258789,7.187802791595459,0.34151729941368103,0.5610306262969971,6.180000305175781,1.7862472534179688,0.4799995422363281,0.9979166666666667,0.2945679,0.35131744,0.3690479,1,3.1446785071279213,-0.05844830395837946,1.7836659844258331
cons_abat_cisneros,2025-03-16 18:45:00,train,stabilized_log,0.3208962,stabilized_flow_log_feature,78.46499633789062,14.018320083618164,63.58000183105469,13.76333999633789,1.1104106903076172,0.602482259273529,13.230003356933594,5.529998779296875,3.700000762939453,0.94375,0.15434569,0.29870766,0.5096352,1,4.133653529263374,-0.06735095734324474,3.4143531493952213
cons_abat_cisneros,2025-03-17 06:45:00,train,stabilized_log,0.37135985,stabilized_flow_log_feature,78.63999938964844,14.158392906188965,64.50999450683594,14.625056266784668,1.1180678606033325,0.6504895091056824,11.69000244140625,4.9499969482421875,3.700000762939453,0.9402777777777777,0.16400369,0.34730458,0.6027712,1,4.450368466484612,-0.23319934147144727,3.65176850588011
cons_abat_cisneros,2025-03-19 18:45:00,train,stabilized_log,0.33324414,stabilized_flow_log_feature,79.83999633789062,6.310877323150635,66.08999633789062,12.665557861328125,1.2259881496429443,0.5456400513648987,13.430000305175781,4.370002746582031,3.0,0.9979166666666667,0.13419105,0.28767297,0.5778684,1,3.9505575907324104,-0.6933368535850098,2.091469772254424
cons_abat_garriga,2024-01-03 17:45:00,train,stabilized_log,0.33229536,return_temp_c,79.2449951171875,4.0198774337768555,75.05999755859375,4.125848770141602,0.76474529504776,0.13592003285884857,3.3499984741210938,1.75,1.6399993896484375,0.9812499999999998,0.132017,0.43945932,0.4254097,0,2.0756762333209573,-1.1890476279017432,-0.7757009212028384
cons_abat_garriga,2024-01-04 05:45:00,train,stabilized_log,0.286636,stabilized_flow_log_feature,79.08000183105469,2.9715073108673096,75.0,3.3167312145233154,0.7729146480560303,0.140792578458786,3.3499984741210938,1.9500045776367188,1.8700027465820312,0.9833333333333334,0.076594815,0.39103648,0.39227661,0,2.1185665690729603,-1.2754740949359955,-1.0298740866174234
cons_abat_garriga,2024-09-02 05:45:00,train,stabilized_log,0.36387718,stabilized_flow_log_feature,76.09500122070312,2.9158763885498047,72.16999816894531,2.297963857650757,0.2181011289358139,0.24451981484889984,5.864997863769531,1.1812496185302734,0.40999603271484375,0.9979166666666667,0.121623516,0.08182905,0.888179,0,1.5516465746160806,-1.0804991608013534,-1.5416447716501858
cons_abat_garriga,2024-09-02 17:45:00,train,stabilized_log,0.35591215,stabilized_flow_log_feature,74.52999877929688,5.626596450805664,71.11000061035156,4.315787315368652,0.3055931329727173,0.25595149397850037,2.7649993896484375,0.589996337890625,0.1699981689453125,0.9736111111111111,0.12625852,0.11071458,0.8307633,0,1.4240722956362375,-1.180992063311923,-0.6044424506699462
cons_abat_garriga,2024-09-23 05:45:00,train,stabilized_log,0.5173868,return_temp_c,61.38999938964844,16.655311584472656,57.09000015258789,12.9091796875,0.25879231095314026,0.2277461439371109,4.949851989746094,0.017182350158691406,0.009998321533203125,0.7729166666666666,0.5205079,0.7671191,0.26453367,1,3.689417852300618,1.135514444608727,3.2135403614584144
cons_abat_garriga,2024-12-03 05:45:00,train,stabilized_log,0.30017316,stabilized_flow_log_feature,76.11500549316406,3.9694604873657227,72.18000030517578,1.9858678579330444,0.40794259309768677,0.2376842200756073,4.430000305175781,1.1100006103515625,0.9899978637695312,0.9958333333333332,0.05698489,0.068766624,0.77476805,0,1.2708942780476025,-1.2835296766818065,-1.2598596582252206
cons_abat_garriga,2024-12-08 17:45:00,train,stabilized_log,0.28390518,stabilized_flow_log_feature,64.10664367675781,8.441898345947266,57.62893295288086,6.0884108543396,0.19731253385543823,0.24767500162124634,2.549999237060547,0.31749725341796875,0.12999725341796875,0.7840277777777778,0.23434176,0.2709423,0.34643152,1,3.0309890691610053,0.08152021731258755,0.903399353236726
cons_abat_garriga,2024-12-19 17:45:00,train,stabilized_log,0.28202644,return_temp_c,76.36000061035156,4.303313255310059,61.529998779296875,6.658398151397705,0.15340429544448853,0.04055451974272728,16.299999237060547,11.454998016357422,4.540000915527344,1.0,0.24767715,0.5007788,0.09762326,1,3.832455175729061,1.9217251953336554,-1.3004471146642151
cons_abat_garriga,2024-12-20 05:45:00,train,stabilized_log,0.2827686,return_temp_c,74.66000366210938,4.501150131225586,58.61499786376953,6.248732566833496,0.15497684478759766,0.040164973586797714,16.625001907348633,11.582496643066406,4.540000915527344,1.0,0.2592487,0.49483368,0.0942235,1,3.837256448587739,2.0821197656330055,-1.2692825752550294
cons_abat_garriga,2024-12-21 05:45:00,train,stabilized_log,0.37915444,return_temp_c,72.68499755859375,5.48063850402832,56.44999694824219,9.285345077514648,0.1677705943584442,0.2378668338060379,23.639999389648438,8.8125,4.290000915527344,1.0,0.32279426,0.6295121,0.1851571,1,3.281431375127005,2.333481064188025,-0.054153241779579926
cons_abat_garriga,2024-12-21 17:45:00,train,stabilized_log,0.2955318,return_temp_c,73.80500030517578,4.435385704040527,59.12000274658203,5.812287330627441,0.5926151275634766,0.1826677918434143,14.534997940063477,8.8125,4.290000915527344,1.0,0.12867673,0.56276655,0.19515216,1,2.5819931887386183,1.15666881581365,-0.5427192603106895
cons_abat_garriga,2025-03-06 05:45:00,train,stabilized_log,0.40683687,return_temp_c,78.2449951171875,6.602866172790527,64.16999816894531,6.660730361938477,0.5582013130187988,0.23668882250785828,6.319995880126953,2.5900001525878906,0.4499969482421875,0.9430555555555555,0.086276434,0.67235637,0.46187767,1,1.649678396660879,-0.2565461368126276,0.22962266988493793
cons_abat_garriga,2025-03-06 17:45:00,train,stabilized_log,0.39084765,return_temp_c,79.66000366210938,4.979726314544678,68.77999877929688,7.554760932922363,0.5198146104812622,0.2223205715417862,7.850006103515625,3.460002899169922,0.970001220703125,0.9493055555555555,0.15976463,0.6325458,0.38023248,1,1.9337829847444978,-0.22979599795348693,-0.02491025101356952
cons_abat_garriga,2025-03-14 17:45:00,train,stabilized_log,0.31579727,return_temp_c,74.52999877929688,5.801210403442383,59.54499816894531,6.671151638031006,0.5562116503715515,0.2299213707447052,9.480001449584961,2.5200042724609375,2.0100021362304688,0.9958333333333332,0.16200529,0.6088337,0.17655279,1,1.668602912258628,0.16660111786930343,0.22201903968096984
cons_abat_garriga,2025-03-16 17:45:00,train,stabilized_log,0.39433482,return_temp_c,78.19000244140625,12.355331420898438,70.30000305175781,9.870238304138184,0.6424990892410278,0.23317085206508636,7.335517883300781,1.1085405349731445,0.45999908447265625,0.8076388888888889,0.32759523,0.5554343,0.2999748,1,2.4767350905662813,-0.14561543671124347,1.904988809271293
cons_abat_garriga,2025-03-17 05:45:00,train,stabilized_log,0.42828047,return_temp_c,78.13500213623047,12.487578392028809,70.05999755859375,9.84200382232666,0.616600751876831,0.2349376678466797,7.555427551269531,1.1085405349731445,0.45999908447265625,0.8076388888888889,0.35845053,0.58019984,0.34619102,1,2.4260270627503466,-0.0628724521939106,1.8807399038498365
cons_abat_garriga,2025-04-02 17:45:00,test,stabilized_log,0.30053553,stabilized_flow_log_feature,77.91500091552734,6.585010051727295,72.18000030517578,5.2907514572143555,0.4355509281158447,0.213835209608078,5.6699981689453125,1.2399978637695312,0.43000030517578125,0.9916666666666667,0.0827289,0.18080688,0.6380708,0,1.6232576887993242,-1.035444943254287,-0.35708911840159846
cons_abat_marcet,2024-03-20 10:45:00,train,stabilized_log,1.0357441,return_temp_c,79.16000366210938,8.331466674804688,71.27999877929688,9.4252347946167,0.5378468036651611,0.19231416285037994,8.321990966796875,1.4800052642822266,1.1999969482421875,0.8472222222222222,1.1546057,1.8297094,0.12291696,1,2.802383144496251,1.2285608912588935,1.0620849857422896
cons_abat_marcet,2024-09-21 10:45:00,train,stabilized_log,0.51242304,stabilized_flow_log_feature,65.93000030517578,13.67467212677002,61.97999954223633,10.098843574523926,0.5269626379013062,0.39112287759780884,4.067497253417969,0.3600006103515625,0.060001373291015625,0.9854166666666666,0.41481963,0.15463775,0.96781176,1,2.505977959370286,-0.49686765989614473,2.124578286813888
cons_abat_marcet,2024-09-21 22:45:00,train,stabilized_log,0.8949248,stabilized_flow_log_feature,48.91999816894531,3.9418225288391113,47.782501220703125,4.052473545074463,0.5785681009292603,0.23513875901699066,0.5900001525878906,0.3600006103515625,0.060001373291015625,0.975,0.8180597,0.32582295,1.5408918,1,4.350147082231746,0.2330965025943557,-0.15764543191071972
cons_abat_marcet,2024-09-22 10:45:00,train,stabilized_log,0.97991776,stabilized_flow_log_feature,48.619998931884766,1.8323627710342407,47.84000015258789,1.68791925907135,0.5718384981155396,0.07937335968017578,0.5799980163574219,0.3800010681152344,0.30999755859375,0.9833333333333334,1.0386871,0.40580988,1.4952561,0,4.927535752607831,0.5013522409498146,-1.1519291582281594
cons_abat_marcet,2024-09-22 22:45:00,train,stabilized_log,1.099381,stabilized_flow_log_feature,48.84749984741211,10.712761878967285,48.040000915527344,9.147564888000488,0.5548406839370728,0.2815740406513214,0.5600013732910156,0.1687488555908203,0.15999984741210938,0.9833333333333334,1.0743883,0.5391533,1.6846017,1,4.204733288276379,0.7639542802445894,1.5551087337771043
cons_abat_marcet,2024-09-23 10:45:00,train,stabilized_log,0.77319616,stabilized_flow_log_feature,78.38999938964844,18.042207717895508,70.31999969482422,13.38789176940918,0.3415868282318115,0.3366905152797699,8.010002136230469,0.1687488555908203,0.15999984741210938,0.9874999999999999,0.60830534,0.62209874,1.0891844,1,3.4704316840084717,0.1078506560141378,2.51812206321562
cons_abat_marcet,2024-12-07 10:45:00,train,stabilized_log,0.45546544,stabilized_flow_log_feature,73.68499755859375,6.733789443969727,66.05000305175781,6.540025234222412,1.2259268760681152,0.44921836256980896,9.014995574951172,2.6699981689453125,0.279998779296875,0.9979166666666667,0.2222801,0.32447204,0.81964415,1,3.263122329693126,-1.1722748414104225,1.1587563137439991
cons_abat_marcet,2024-12-07 22:45:00,train,stabilized_log,0.4630153,stabilized_flow_log_feature,66.55500030517578,8.725478172302246,59.2400016784668,7.910290241241455,1.2536280155181885,0.4332461357116699,8.34000015258789,2.2875022888183594,0.279998779296875,0.99375,0.27433124,0.2954664,0.81924826,1,3.22841196903588,-0.78426536814372,1.8798677486371447
cons_abat_marcet,2025-03-16 22:45:00,train,stabilized_log,0.40514496,return_temp_c,77.33999633789062,8.831295013427734,60.2599983215332,5.551372051239014,0.6660435795783997,0.29318055510520935,16.599746704101562,3.8242111206054688,1.19000244140625,0.80625,0.39338282,0.41523004,0.406822,1,2.1497255595040814,0.7305263572716193,0.8897023334673033
cons_abat_marcet,2025-03-17 10:45:00,train,stabilized_log,0.4115556,stabilized_flow_log_feature,78.22000122070312,8.643251419067383,60.36000061035156,5.550311088562012,0.6658438444137573,0.3177412152290344,16.8699951171875,4.2978925704956055,2.6399993896484375,0.80625,0.38935217,0.41451642,0.43079808,1,2.2298522038194286,0.8755403197206628,0.7997307317702205
cons_abat_oliba,2024-09-23 06:45:00,train,stabilized_log,0.3816488,supply_temp_c,66.32758331298828,16.30825424194336,64.60818481445312,16.06800651550293,1.0424060821533203,0.5985342264175415,1.2918739318847656,0.2299957275390625,0.009998321533203125,0.7777777777777777,0.4556369,0.25828862,0.43102095,1,4.965932935241181,-0.8951464775356298,4.988037997772318
cons_abat_oliba,2025-03-02 18:45:00,train,stabilized_log,0.38521242,return_temp_c,81.54000091552734,3.656298875808716,68.75,9.091520309448242,0.39547115564346313,0.5622986555099487,14.110000610351562,1.0699996948242188,0.8899993896484375,0.9861111111111112,0.1859038,0.51031566,0.4594178,1,3.2063690369497766,-0.5741841559036381,0.6746016370142272
cons_hostatgeria_underfloor_hea,2024-03-10 06:45:00,train,stabilized_log,1.9127584,supply_temp_c,63.61499786376953,4.9205803871154785,44.64500045776367,1.0116403102874756,0.24033629894256592,0.12001393735408783,18.58500099182129,12.420000076293945,10.799999237060547,0.9750000000000001,3.3410156,0.517573,1.8796864,1,6.38523516520639,4.932613169192658,-2.2183952423518454
cons_hostatgeria_underfloor_hea,2024-04-03 06:45:00,train,stabilized_log,2.3978107,supply_temp_c,72.10000610351562,13.157291412353516,44.19499969482422,5.852139949798584,0.0689459815621376,0.1388954222202301,23.354997634887695,0.7474985122680664,0.4099998474121094,0.8395833333333332,4.8624554,1.1759051,1.1550719,1,6.479057191718582,4.878988936820786,1.125874220065585
cons_hostatgeria_underfloor_hea,2024-04-03 18:45:00,train,stabilized_log,4.1792774,supply_temp_c,66.8941650390625,15.369629859924316,44.83000183105469,8.685912132263184,0.08649422973394394,0.15678530931472778,13.440000534057617,0.4465007781982422,0.37999725341796875,0.6895833333333332,8.756378,2.0360897,1.7453647,1,11.21812914626229,7.074323749979039,2.409761517794764
cons_hostatgeria_underfloor_hea,2024-04-04 06:45:00,train,stabilized_log,2.24682,supply_temp_c,76.66999816894531,13.751436233520508,55.644996643066406,7.674007415771484,0.042746447026729584,0.09928964823484421,20.755002975463867,0.5340003967285156,0.37999725341796875,0.6041666666666666,4.4095645,1.472641,0.858254,1,6.880444267803807,4.715653109113358,1.6500802404752384
cons_hostatgeria_underfloor_hea,2024-10-25 18:45:00,test,stabilized_log,2.8034685,return_temp_c,78.4715347290039,2.3840932846069336,30.100000381469727,3.9794673919677734,0.0037460399325937033,0.07287650555372238,47.75,38.54875183105469,35.01000213623047,0.7645833333333334,0.15559427,7.02692,1.227892,2,0.0,15.6416872876463,-4.843356057723094
cons_hostatgeria_DHW_radiators,2024-01-22 05:00:00,train,stabilized_log,0.5583097,return_temp_c,75.3699951171875,3.7449820041656494,66.27999877929688,8.51651382446289,0.8469244241714478,0.34488630294799805,8.724998474121094,3.7549991607666016,1.970001220703125,1.0,0.20927338,1.0764725,0.38918296,1,2.2182249777679295,-0.05317200759031045,0.4811485530694839
cons_hostatgeria_DHW_radiators,2024-01-22 17:00:00,train,stabilized_log,0.6599562,return_temp_c,75.30500030517578,7.483534812927246,61.79499816894531,10.757111549377441,0.7143006324768066,0.35039108991622925,11.4949951171875,3.857503890991211,3.279998779296875,1.0,0.3065277,1.187409,0.48593172,1,1.7394986299980844,0.818407353300627,1.1670470343750874
cons_hostatgeria_DHW_radiators,2024-04-03 17:00:00,train,stabilized_log,0.42203015,stabilized_flow_log_feature,69.08000183105469,15.719627380371094,63.57250213623047,14.359798431396484,1.0110957622528076,0.3105705678462982,2.992502212524414,0.12250041961669922,0.060001373291015625,0.9125,0.4728916,0.2677046,0.5254941,1,3.446683587436488,-0.6361183121525746,3.630692790370268
cons_hostatgeria_DHW_radiators,2024-04-10 05:00:00,train,stabilized_log,0.57285094,stabilized_flow_log_feature,79.33999633789062,4.075735569000244,76.16749572753906,5.49531364440918,0.68201744556427,0.3200664818286896,2.297496795654297,0.45874977111816406,0.0500030517578125,0.9458333333333334,0.14956431,0.21182394,1.3571645,0,1.1662519908393545,-1.7013044579715413,-0.4803635976667214
cons_hostatgeria_DHW_radiators,2024-04-10 17:00:00,train,stabilized_log,0.46877092,stabilized_flow_log_feature,79.25499725341797,3.391061305999756,75.69999694824219,4.847757339477539,0.8130389451980591,0.3040377199649811,4.069999694824219,0.45874977111816406,0.0500030517578125,0.9645833333333332,0.1309782,0.1819244,1.0934104,0,1.3411226396890956,-1.7870918465006587,-0.4803798808519383
cons_hostatgeria_DHW_radiators,2024-08-09 05:00:00,train,stabilized_log,0.40012822,stabilized_flow_log_feature,73.17695617675781,6.936984062194824,68.71499633789062,7.693243026733398,0.6531020998954773,0.24521422386169434,5.2378692626953125,1.302499771118164,0.779998779296875,0.7979166666666667,0.3218309,0.4378586,0.44069505,1,2.2302180988160822,-0.37675701892893876,0.9224584804402884
cons_hostatgeria_DHW_radiators,2024-08-15 17:00:00,train,stabilized_log,0.43069455,stabilized_flow_log_feature,74.22999572753906,5.83771276473999,71.29499816894531,7.066031455993652,0.840469479560852,0.2752533257007599,3.9650001525878906,0.16749954223632812,0.049999237060546875,0.8541666666666666,0.23135328,0.48729953,0.5734308,0,2.3337686845073797,-1.043719552373233,0.7695896383426468
cons_hostatgeria_DHW_radiators,2024-08-16 05:00:00,train,stabilized_log,0.43923098,stabilized_flow_log_feature,75.23500061035156,5.917837142944336,72.38499450683594,7.148659706115723,0.8447757959365845,0.2649345099925995,4.0800018310546875,0.16749954223632812,0.049999237060546875,0.8729166666666668,0.27047533,0.47411,0.5731075,0,2.2453275117832203,-1.1019763408779244,0.7122803964471183
cons_hostatgeria_DHW_radiators,2024-08-24 17:00:00,train,stabilized_log,0.36423725,stabilized_flow_log_feature,79.57499694824219,6.060694217681885,74.50499725341797,3.733048915863037,0.6334575414657593,0.2755667567253113,4.7649993896484375,1.057504653930664,0.29000091552734375,0.9791666666666666,0.13124886,0.123648316,0.83781457,0,1.1544140422556384,-1.5002394149371925,-0.45907506662066755
cons_hostatgeria_DHW_radiators,2024-08-27 05:00:00,train,stabilized_log,0.35647905,stabilized_flow_log_feature,82.20999908447266,4.896707534790039,75.13999938964844,3.0235753059387207,0.47479957342147827,0.25654786825180054,6.2949981689453125,1.7325019836425781,0.8700027465820312,1.0,0.105652265,0.098956764,0.8648283,0,1.2248665765396896,-1.3179753309462223,-1.083041458269136
cons_hostatgeria_DHW_radiators,2024-08-29 05:00:00,train,stabilized_log,0.385867,stabilized_flow_log_feature,82.94499969482422,3.046351194381714,75.11000061035156,1.6400107145309448,0.39844635128974915,0.24290722608566284,7.795001983642578,2.327495574951172,0.19000244140625,0.9979166666666667,0.08829016,0.11676613,0.9525446,0,1.3888609591445298,-1.2430481858241222,-1.6961735012629175
cons_hostatgeria_DHW_radiators,2024-09-19 05:00:00,train,stabilized_log,0.4532545,stabilized_flow_log_feature,85.00499725341797,2.2523272037506104,75.4749984741211,2.1345787048339844,0.4131111204624176,0.22680917382240295,9.500003814697266,4.324995040893555,2.6399993896484375,0.9979166666666667,0.11811415,0.23640268,1.0052468,0,1.830851639255154,-0.6691759587103789,-2.021947209396253
cons_hostatgeria_DHW_radiators,2024-09-19 17:00:00,train,stabilized_log,0.5727192,stabilized_flow_log_feature,82.56999969482422,2.584665298461914,75.63999938964844,2.129035472869873,0.5510303378105164,0.30230918526649475,6.525001525878906,2.8674983978271484,1.029998779296875,1.0,0.07557541,0.20603557,1.4365467,0,1.245406978118928,-1.2903190509021354,-1.718454122557518
