workbook,sheet,rows,usable,start,end,median_power,max_power,median_delta_t_c,min_delta_t_c,max_delta_t_c,pct_positive_delta_t,pct_positive_power,pct_active_heating,notes,median_estimated_flow_kg_s_from_kw,median_reported_flow,median_reported_to_estimated_flow_ratio
District Heating_updated_16_07_2025_1.xlsx,cons_abat_cisneros,255716,True,2020-02-17 18:53:56,2025-07-16 12:36:57,65.0,459.1,11.520004272460938,-24.659996032714844,43.45000076293945,0.990184423344648,0.7277409313457116,0.7266068607361291,,1.6687109782904055,,
District Heating_updated_16_07_2025_1.xlsx,cons_abat_garriga,259131,True,2019-09-29 17:53:56,2025-07-16 12:36:57,12.5,212.9,8.525001525878906,-26.37000274658203,62.31999969482422,0.9669935283698207,0.7138898858106517,0.7101350282289652,,0.36457745955501514,,
District Heating_updated_16_07_2025_1.xlsx,cons_abat_marcet,255304,True,2020-02-17 22:53:56,2025-07-16 12:41:57,21.6,444.2,8.930000305175781,-67.52999877929688,141.54000091552734,0.9918646006329709,0.6291479961144362,0.6273853915332309,,0.9255789262286769,,
District Heating_updated_16_07_2025_2.xlsx,cons_abat_oliba,97882,True,2023-08-19 18:54:15,2025-07-16 12:36:57,11.0,340.0,4.399993899999998,-67.5,79.3199997,0.9132731247829019,0.7119490815471691,0.6866124517275903,,2.033492822966515,,
District Heating_updated_16_07_2025_2.xlsx,cons_hostatgeria_DHW_radiators,403405,True,2022-01-13 17:08:56,2025-07-16 12:54:15,30.400000000000002,519.09996875,5.680000305175781,-30.460002899169922,56.62000274658203,0.9831856323050037,0.6524088694983949,0.641831410121342,,1.4100796800249717,,
District Heating_updated_16_07_2025_2.xlsx,cons_hostatgeria_underfloor_hea,402427,True,2022-01-10 06:53:56,2025-07-16 12:56:57,0.0,223.1,29.240001678466797,-53.59000015258789,64.01999855041504,0.9261108225839717,0.3072283917331591,0.3067910453324454,,0.0817895501403921,,
District Heating_updated_16_07_2025_2.xlsx,cons_nostra_senyora,348391,True,2022-10-02 20:09:15,2025-07-16 13:16:57,1.0,313.0,10.410003662109375,-39.1400032043457,54.28999710083008,0.9722237371229452,0.7642533819759982,0.7622757189479636,,0.0214043200269663,20.402580574035646,1152.0329899076607
