sheet,workbook,rows,active_rows,start,end,median_active_delta_t_c,p05_active_delta_t_c,anomalies,table,figure
cons_abat_cisneros,District Heating_updated_16_07_2025_1.xlsx,255716,185805,2020-02-17 18:53:56,2025-07-16 12:36:57,11.790000915527344,4.3600006103515625,0,D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Results\processed_data\dhc_delta_t_baseline_cons_abat_cisneros.csv,D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Results\figures\dhc_delta_t_baseline_cons_abat_cisneros.png
cons_abat_garriga,District Heating_updated_16_07_2025_1.xlsx,259131,184018,2019-09-29 17:53:56,2025-07-16 12:36:57,8.840003967285156,2.30999755859375,0,D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Results\processed_data\dhc_delta_t_baseline_cons_abat_garriga.csv,D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Results\figures\dhc_delta_t_baseline_cons_abat_garriga.png
cons_abat_marcet,District Heating_updated_16_07_2025_1.xlsx,255304,160174,2020-02-17 22:53:56,2025-07-16 12:41:57,9.30999755859375,1.4199981689453125,0,D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Results\processed_data\dhc_delta_t_baseline_cons_abat_marcet.csv,D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Results\figures\dhc_delta_t_baseline_cons_abat_marcet.png
cons_abat_oliba,District Heating_updated_16_07_2025_2.xlsx,97882,67207,2023-08-19 18:54:15,2025-07-16 12:36:57,3.919998199999995,0.19000250000000563,0,D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Results\processed_data\dhc_delta_t_baseline_cons_abat_oliba.csv,D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Results\figures\dhc_delta_t_baseline_cons_abat_oliba.png
cons_hostatgeria_DHW_radiators,District Heating_updated_16_07_2025_2.xlsx,403405,258918,2022-01-13 17:08:56,2025-07-16 12:54:15,5.459999084472656,2.279998779296875,0,D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Results\processed_data\dhc_delta_t_baseline_cons_hostatgeria_dhw_radiators.csv,D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Results\figures\dhc_delta_t_baseline_cons_hostatgeria_dhw_radiators.png
cons_hostatgeria_underfloor_hea,District Heating_updated_16_07_2025_2.xlsx,402427,123461,2022-01-10 06:53:56,2025-07-16 12:56:57,32.459999084472656,18.48999786376953,940,D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Results\processed_data\dhc_delta_t_baseline_cons_hostatgeria_underfloor_hea.csv,D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Results\figures\dhc_delta_t_baseline_cons_hostatgeria_underfloor_hea.png
cons_nostra_senyora,District Heating_updated_16_07_2025_2.xlsx,348391,265570,2022-10-02 20:09:15,2025-07-16 13:16:57,9.770004272460938,3.7600021362304688,0,D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Results\processed_data\dhc_delta_t_baseline_cons_nostra_senyora.csv,D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Results\figures\dhc_delta_t_baseline_cons_nostra_senyora.png
