anomaly_cluster,windows,sheets,dominant_feature_mode,reconstruction_mse_median,supply_median,return_median,flow_median,delta_t_median,delta_t_min
0,3,cons_hostatgeria_underfloor_hea,supply_temp_c,2.3978107,72.10000610351562,44.83000183105469,0.0689459815621376,20.755002975463867,0.37999725341796875
1,12,cons_abat_oliba,return_temp_c,0.324526745,81.30999755859375,71.58000183105469,0.6404369175434113,7.640003204345703,0.18000030517578125
2,1,cons_hostatgeria_underfloor_hea,return_temp_c,2.8034685,78.4715347290039,30.100000381469727,0.0037460399325937033,47.75,35.01000213623047
