sheet,flow_lens,windows,flagged_windows,threshold_train_p99,top_inspected_reconstruction_mse,top_overlap_count
cons_abat_oliba,raw,955,8,4.491034030914307,10.830531,0
cons_abat_oliba,stabilized_log,955,12,0.3080945909023285,0.38521242,0
cons_hostatgeria_underfloor_hea,raw,323,4,2.2219605445861816,4.694052,3
cons_hostatgeria_underfloor_hea,stabilized_log,323,4,2.056404829025269,4.1792774,3
