rank,window_start,window_end,split,reconstruction_mse,resampled_points,median_supply_temp_c,median_return_temp_c,median_derived_flow_kg_s,median_delta_t_c,min_delta_t_c,low_delta_t_anomaly_points,has_low_delta_t_overlap
1,2024-12-08 17:00:00,2024-12-09 17:00:00,train,1.2470294,96,67.54000091552734,63.060001373291016,1.535710664654172,3.3600006103515625,-19.420001983642578,0,False
2,2025-07-02 17:00:00,2025-07-03 17:00:00,test,0.7987336,96,73.7699966430664,72.28249931335449,1.3941666864309648,1.1100006103515625,-4.94000244140625,0,False
3,2024-12-08 05:00:00,2024-12-09 05:00:00,train,0.7663019,96,62.63999938964844,57.130001068115234,1.467304625199362,5.029998779296875,-15.019996643066406,0,False
4,2025-07-02 05:00:00,2025-07-03 05:00:00,test,0.70915335,96,73.68999862670898,71.94000244140625,1.161732145896135,1.5800018310546875,-7.069999694824219,0,False
5,2024-04-10 05:00:00,2024-04-11 05:00:00,train,0.56644034,96,79.34000015258789,76.1674976348877,1.6544091407910457,1.3300018310546875,-3.720001220703125,0,False
6,2024-04-10 17:00:00,2024-04-11 17:00:00,train,0.54979205,96,79.25499725341797,75.70000076293945,1.7285512059032615,3.8799972534179688,-3.2099990844726562,0,False
