window_start,reconstruction_mse,is_reconstruction_anomaly,split,return_temp_c_reconstruction_mse,is_return_temp_c_channel_anomaly,dominant_anomalous_feature
2023-09-13 18:45:00,0.00582042,False,train,0.00582042,False,return_temp_c
2023-09-14 06:45:00,0.006636636,False,train,0.006636636,False,return_temp_c
2023-09-14 18:45:00,0.01189156,False,train,0.01189156,False,return_temp_c
2023-09-15 06:45:00,0.020019867,False,train,0.020019867,False,return_temp_c
2023-09-15 18:45:00,0.010234849,False,train,0.010234849,False,return_temp_c
2023-09-16 06:45:00,0.012485278,False,train,0.012485278,False,return_temp_c
2023-09-16 18:45:00,0.008633236,False,train,0.008633236,False,return_temp_c
2023-09-17 06:45:00,0.017805709,False,train,0.017805709,False,return_temp_c
2023-09-17 18:45:00,0.0229328,False,train,0.0229328,False,return_temp_c
2023-09-18 06:45:00,0.027551683,False,train,0.027551683,False,return_temp_c
2023-09-18 18:45:00,0.007862816,False,train,0.007862816,False,return_temp_c
2023-09-19 06:45:00,0.0039605754,False,train,0.0039605754,False,return_temp_c
2023-09-19 18:45:00,0.0044672857,False,train,0.0044672857,False,return_temp_c
2023-09-20 06:45:00,0.005981751,False,train,0.005981751,False,return_temp_c
2023-09-21 18:45:00,0.05746912,False,train,0.05746912,False,return_temp_c
2023-09-22 06:45:00,0.010125265,False,train,0.010125265,False,return_temp_c
2023-09-22 18:45:00,0.0070625353,False,train,0.0070625353,False,return_temp_c
2023-09-23 06:45:00,0.0076060295,False,train,0.0076060295,False,return_temp_c
2023-09-23 18:45:00,0.013613671,False,train,0.013613671,False,return_temp_c
2023-09-24 06:45:00,0.011016288,False,train,0.011016288,False,return_temp_c
2023-09-24 18:45:00,0.009349617,False,train,0.009349617,False,return_temp_c
2023-09-25 06:45:00,0.012952195,False,train,0.012952195,False,return_temp_c
2023-10-11 06:45:00,0.08302502,True,train,0.08302502,True,return_temp_c
2023-10-11 18:45:00,0.027647233,False,train,0.027647233,False,return_temp_c
2023-10-12 06:45:00,0.033004485,False,train,0.033004485,False,return_temp_c
2023-10-12 18:45:00,0.01881176,False,train,0.01881176,False,return_temp_c
2023-10-13 06:45:00,0.030594006,False,train,0.030594006,False,return_temp_c
2023-10-13 18:45:00,0.030185739,False,train,0.030185739,False,return_temp_c
2023-10-14 06:45:00,0.046877537,False,train,0.046877537,False,return_temp_c
2023-10-14 18:45:00,0.035212874,False,train,0.035212874,False,return_temp_c
2023-10-15 06:45:00,0.03439466,False,train,0.03439466,False,return_temp_c
2023-10-15 18:45:00,0.027616264,False,train,0.027616264,False,return_temp_c
2023-10-16 06:45:00,0.014861188,False,train,0.014861188,False,return_temp_c
2023-10-16 18:45:00,0.03697083,False,train,0.03697083,False,return_temp_c
2023-10-17 06:45:00,0.022952037,False,train,0.022952037,False,return_temp_c
2023-10-17 18:45:00,0.027228082,False,train,0.027228082,False,return_temp_c
2023-10-22 18:45:00,0.019666798,False,train,0.019666798,False,return_temp_c
2023-10-27 06:45:00,0.017190589,False,train,0.017190589,False,return_temp_c
2023-10-27 18:45:00,0.037783626,False,train,0.037783626,False,return_temp_c
2023-11-01 06:45:00,0.013863253,False,train,0.013863253,False,return_temp_c
2023-11-02 06:45:00,0.03025429,False,train,0.03025429,False,return_temp_c
2023-11-02 18:45:00,0.030700961,False,train,0.030700961,False,return_temp_c
2023-11-03 06:45:00,0.011981626,False,train,0.011981626,False,return_temp_c
2023-11-03 18:45:00,0.012344156,False,train,0.012344156,False,return_temp_c
2023-11-04 06:45:00,0.012568079,False,train,0.012568079,False,return_temp_c
2023-11-04 18:45:00,0.014730853,False,train,0.014730853,False,return_temp_c
2023-11-05 06:45:00,0.015201946,False,train,0.015201946,False,return_temp_c
2023-11-05 18:45:00,0.016715867,False,train,0.016715867,False,return_temp_c
2023-11-06 06:45:00,0.0064578634,False,train,0.0064578634,False,return_temp_c
2023-11-06 18:45:00,0.01344934,False,train,0.01344934,False,return_temp_c
2023-11-07 06:45:00,0.10795831,True,train,0.10795831,True,return_temp_c
2023-11-07 18:45:00,0.08483688,True,train,0.08483688,True,return_temp_c
2023-11-08 06:45:00,0.11752059,True,train,0.11752059,True,return_temp_c
2023-11-08 18:45:00,0.014883255,False,train,0.014883255,False,return_temp_c
2023-11-09 06:45:00,0.019616747,False,train,0.019616747,False,return_temp_c
2023-11-09 18:45:00,0.008322667,False,train,0.008322667,False,return_temp_c
2023-11-10 06:45:00,0.0066031753,False,train,0.0066031753,False,return_temp_c
2023-11-10 18:45:00,0.010137556,False,train,0.010137556,False,return_temp_c
2023-11-11 06:45:00,0.0054831156,False,train,0.0054831156,False,return_temp_c
2023-11-11 18:45:00,0.012904839,False,train,0.012904839,False,return_temp_c
2023-11-12 06:45:00,0.0066711553,False,train,0.0066711553,False,return_temp_c
2023-11-13 06:45:00,0.029310739,False,train,0.029310739,False,return_temp_c
2023-11-13 18:45:00,0.04486696,False,train,0.04486696,False,return_temp_c
2023-11-14 06:45:00,0.02570724,False,train,0.02570724,False,return_temp_c
2023-11-14 18:45:00,0.012315549,False,train,0.012315549,False,return_temp_c
2023-11-15 06:45:00,0.025735945,False,train,0.025735945,False,return_temp_c
2023-11-15 18:45:00,0.024558479,False,train,0.024558479,False,return_temp_c
2023-11-16 06:45:00,0.032432843,False,train,0.032432843,False,return_temp_c
2023-11-16 18:45:00,0.02975539,False,train,0.02975539,False,return_temp_c
2023-11-17 06:45:00,0.015416958,False,train,0.015416958,False,return_temp_c
2023-11-17 18:45:00,0.03672926,False,train,0.03672926,False,return_temp_c
2023-11-18 18:45:00,0.031361584,False,train,0.031361584,False,return_temp_c
2023-11-19 06:45:00,0.022920607,False,train,0.022920607,False,return_temp_c
2023-11-20 06:45:00,0.03819563,False,train,0.03819563,False,return_temp_c
2023-11-20 18:45:00,0.032106873,False,train,0.032106873,False,return_temp_c
2023-11-21 06:45:00,0.013085377,False,train,0.013085377,False,return_temp_c
