window_start,reconstruction_mse,is_reconstruction_anomaly,split,stabilized_flow_log_feature_reconstruction_mse,is_stabilized_flow_log_feature_channel_anomaly,dominant_anomalous_feature
2024-02-07 18:45:00,0.2253552,False,train,0.2253552,False,stabilized_flow_log_feature
2024-02-08 06:45:00,0.18206298,False,train,0.18206298,False,stabilized_flow_log_feature
2024-02-08 18:45:00,0.22205853,False,train,0.22205853,False,stabilized_flow_log_feature
2024-02-09 06:45:00,0.2307405,False,train,0.2307405,False,stabilized_flow_log_feature
2024-02-09 18:45:00,0.2970955,False,train,0.2970955,False,stabilized_flow_log_feature
2024-02-10 06:45:00,0.34465984,False,train,0.34465984,False,stabilized_flow_log_feature
2024-02-10 18:45:00,0.29848608,False,train,0.29848608,False,stabilized_flow_log_feature
2024-02-11 06:45:00,0.27445927,False,train,0.27445927,False,stabilized_flow_log_feature
2024-02-11 18:45:00,0.29179162,False,train,0.29179162,False,stabilized_flow_log_feature
2024-02-12 06:45:00,0.27849278,False,train,0.27849278,False,stabilized_flow_log_feature
2024-02-12 18:45:00,0.258537,False,train,0.258537,False,stabilized_flow_log_feature
2024-02-13 06:45:00,0.2451009,False,train,0.2451009,False,stabilized_flow_log_feature
2024-02-13 18:45:00,0.14478756,False,train,0.14478756,False,stabilized_flow_log_feature
2024-02-14 06:45:00,0.107165635,False,train,0.107165635,False,stabilized_flow_log_feature
2024-02-14 18:45:00,0.14188981,False,train,0.14188981,False,stabilized_flow_log_feature
2024-02-15 06:45:00,0.19740778,False,train,0.19740778,False,stabilized_flow_log_feature
2024-02-15 18:45:00,0.21877092,False,train,0.21877092,False,stabilized_flow_log_feature
2024-02-16 06:45:00,0.2135628,False,train,0.2135628,False,stabilized_flow_log_feature
2024-02-16 18:45:00,0.21301419,False,train,0.21301419,False,stabilized_flow_log_feature
2024-02-17 06:45:00,0.18273671,False,train,0.18273671,False,stabilized_flow_log_feature
2024-02-17 18:45:00,0.16989921,False,train,0.16989921,False,stabilized_flow_log_feature
2024-02-18 06:45:00,0.23545408,False,train,0.23545408,False,stabilized_flow_log_feature
2024-02-18 18:45:00,0.26747158,False,train,0.26747158,False,stabilized_flow_log_feature
2024-02-19 06:45:00,0.1508082,False,train,0.1508082,False,stabilized_flow_log_feature
2024-02-19 18:45:00,0.12445855,False,train,0.12445855,False,stabilized_flow_log_feature
2024-02-20 06:45:00,0.12533177,False,train,0.12533177,False,stabilized_flow_log_feature
2024-02-20 18:45:00,0.08154847,False,train,0.08154847,False,stabilized_flow_log_feature
2024-02-21 06:45:00,0.10097221,False,train,0.10097221,False,stabilized_flow_log_feature
2024-02-21 18:45:00,0.13397318,False,train,0.13397318,False,stabilized_flow_log_feature
2024-02-22 06:45:00,0.15939204,False,train,0.15939204,False,stabilized_flow_log_feature
2024-02-22 18:45:00,0.2571607,False,train,0.2571607,False,stabilized_flow_log_feature
2024-02-23 06:45:00,0.27641633,False,train,0.27641633,False,stabilized_flow_log_feature
2024-02-23 18:45:00,0.4229761,False,train,0.4229761,False,stabilized_flow_log_feature
2024-02-24 06:45:00,0.47636628,False,train,0.47636628,False,stabilized_flow_log_feature
2024-02-24 18:45:00,0.35320118,False,train,0.35320118,False,stabilized_flow_log_feature
2024-02-25 06:45:00,0.334335,False,train,0.334335,False,stabilized_flow_log_feature
2024-02-25 18:45:00,0.23655985,False,train,0.23655985,False,stabilized_flow_log_feature
2024-02-26 06:45:00,0.20384467,False,train,0.20384467,False,stabilized_flow_log_feature
2024-02-26 18:45:00,0.20248665,False,train,0.20248665,False,stabilized_flow_log_feature
2024-02-27 06:45:00,0.22635245,False,train,0.22635245,False,stabilized_flow_log_feature
2024-02-27 18:45:00,0.29593506,False,train,0.29593506,False,stabilized_flow_log_feature
2024-02-28 06:45:00,0.31434992,False,train,0.31434992,False,stabilized_flow_log_feature
2024-02-28 18:45:00,0.21541977,False,train,0.21541977,False,stabilized_flow_log_feature
2024-02-29 06:45:00,0.17405128,False,train,0.17405128,False,stabilized_flow_log_feature
2024-02-29 18:45:00,0.181926,False,train,0.181926,False,stabilized_flow_log_feature
2024-03-01 06:45:00,0.21970515,False,train,0.21970515,False,stabilized_flow_log_feature
2024-03-01 18:45:00,0.30013636,False,train,0.30013636,False,stabilized_flow_log_feature
2024-03-02 06:45:00,0.26794484,False,train,0.26794484,False,stabilized_flow_log_feature
2024-03-02 18:45:00,0.7169705,False,train,0.7169705,False,stabilized_flow_log_feature
2024-03-03 06:45:00,0.9490063,False,train,0.9490063,False,stabilized_flow_log_feature
2024-03-03 18:45:00,0.82283956,False,train,0.82283956,False,stabilized_flow_log_feature
2024-03-04 06:45:00,0.7470038,False,train,0.7470038,False,stabilized_flow_log_feature
2024-03-04 18:45:00,1.0146726,True,train,1.0146726,True,stabilized_flow_log_feature
2024-03-05 06:45:00,0.71906257,False,train,0.71906257,False,stabilized_flow_log_feature
2024-03-05 18:45:00,0.36269894,False,train,0.36269894,False,stabilized_flow_log_feature
2024-03-06 06:45:00,0.41232863,False,train,0.41232863,False,stabilized_flow_log_feature
2024-03-06 18:45:00,0.2833073,False,train,0.2833073,False,stabilized_flow_log_feature
2024-03-07 06:45:00,0.21216428,False,train,0.21216428,False,stabilized_flow_log_feature
2024-03-07 18:45:00,0.30658385,False,train,0.30658385,False,stabilized_flow_log_feature
2024-03-08 06:45:00,0.37101948,False,train,0.37101948,False,stabilized_flow_log_feature
2024-03-08 18:45:00,0.6268874,False,train,0.6268874,False,stabilized_flow_log_feature
2024-03-09 06:45:00,0.64711505,False,train,0.64711505,False,stabilized_flow_log_feature
2024-03-09 18:45:00,0.9648617,False,train,0.9648617,False,stabilized_flow_log_feature
2024-03-10 06:45:00,1.1711475,True,train,1.1711475,True,stabilized_flow_log_feature
2024-03-10 18:45:00,0.9059062,False,train,0.9059062,False,stabilized_flow_log_feature
2024-03-11 06:45:00,0.60680187,False,train,0.60680187,False,stabilized_flow_log_feature
2024-03-11 18:45:00,0.26681125,False,train,0.26681125,False,stabilized_flow_log_feature
2024-03-12 06:45:00,0.23133111,False,train,0.23133111,False,stabilized_flow_log_feature
