sheet,window_start,split,flow_feature_mode,reconstruction_mse,dominant_anomalous_feature,supply_median,supply_std,return_median,return_std,flow_median,flow_std,delta_t_median,delta_t_p05,delta_t_min,active_fraction_mean,supply_temp_c_reconstruction_mse,return_temp_c_reconstruction_mse,derived_flow_kg_s_reconstruction_mse,anomaly_cluster,distance_to_center,pca_1,pca_2
cons_abat_cisneros,2025-01-20 06:45:00,train,raw,2.5362227,derived_flow_kg_s,79.49500274658203,11.732904434204102,65.30999755859375,12.55884075164795,3.612588882446289,6.973795413970947,8.975000381469727,1.4999980926513672,0.14000320434570312,0.9979166666666667,0.17408158,0.1571041,7.2774825,0,3.2563988713090315,0.46031590535486544,-0.8694287998456586
cons_abat_cisneros,2025-01-20 18:45:00,train,raw,2.6157913,derived_flow_kg_s,82.98999786376953,4.31605339050293,70.37999725341797,7.795981407165527,3.4478254318237305,7.341094970703125,10.779998779296875,0.80999755859375,0.26999664306640625,0.9902777777777777,0.41316465,0.28406045,7.150149,0,2.1114028026031364,-0.34607308717101,-0.3741811261635447
cons_abat_cisneros,2025-02-09 18:45:00,train,raw,0.67698044,derived_flow_kg_s,81.16000366210938,2.9650261402130127,73.19000244140625,4.8545918464660645,3.9555153846740723,4.286855220794678,8.089996337890625,3.5112457275390625,1.4099960327148438,0.9798611111111111,0.12097731,0.153892,1.7560719,0,2.354293094993459,-0.20886769115310805,-0.6794442036467093
cons_abat_cisneros,2025-02-10 06:45:00,train,raw,0.6821255,derived_flow_kg_s,80.22000122070312,3.320143699645996,69.9000015258789,4.845351219177246,3.3590497970581055,4.297726631164551,9.05999755859375,3.5112457275390625,1.2399978637695312,0.9784722222222223,0.14756416,0.15282382,1.7459888,0,2.0239320814729296,0.08866335926149127,-0.7022200258852688
cons_abat_cisneros,2025-02-23 18:45:00,train,raw,0.6596152,derived_flow_kg_s,82.19499969482422,1.8702716827392578,72.81500244140625,4.220175266265869,3.5658257007598877,4.829274654388428,9.03250503540039,2.7075023651123047,1.1299972534179688,0.975,0.127245,0.16854264,1.6830581,0,2.517793481472229,-0.2576152748649469,-0.6794215180655095
cons_abat_cisneros,2025-02-28 06:45:00,train,raw,4.0019603,derived_flow_kg_s,71.91999816894531,8.767908096313477,63.06999969482422,7.542613506317139,4.035520553588867,16.437946319580078,8.099998474121094,2.9224987030029297,0.5600051879882812,0.9958333333333332,1.342216,0.7045755,9.959089,0,2.012085955406642,-0.04519809361613425,0.3450751844691936
cons_abat_cisneros,2025-02-28 18:45:00,train,raw,4.099679,derived_flow_kg_s,63.3650016784668,9.42529582977295,57.279998779296875,8.159125328063965,4.410260200500488,16.40611457824707,7.119998931884766,2.9975013732910156,0.5600051879882812,0.9909722222222223,1.4171276,0.8343382,10.04757,0,2.816565074702276,0.2913117853034397,0.3716739902167306
cons_abat_cisneros,2025-03-05 18:45:00,train,raw,0.6869936,derived_flow_kg_s,72.97000122070312,5.494150638580322,61.540000915527344,5.878232479095459,3.7572176456451416,5.64243221282959,9.769998550415039,4.0,1.9300003051757812,0.9965277777777777,0.2166843,0.21518733,1.629109,0,1.6714590779421623,0.7732033276626712,-0.6370127278638313
cons_abat_cisneros,2025-03-06 06:45:00,train,raw,0.7317794,derived_flow_kg_s,80.44499969482422,7.4749956130981445,68.05999755859375,7.764673709869385,3.865659713745117,5.633258819580078,8.384998321533203,4.145000457763672,1.9300003051757812,0.96875,0.2518603,0.26275322,1.680725,0,1.9690269967846634,0.5209232572153496,-0.68268682683657
cons_abat_garriga,2024-01-07 17:45:00,train,raw,5.0210047,derived_flow_kg_s,75.11000061035156,7.364278316497803,66.5,4.0041184425354,0.42551204562187195,20.326948165893555,9.389999389648438,0.7700004577636719,0.020000457763671875,0.9798611111111111,0.3991783,0.54170465,14.122134,0,2.2650896983027025,-0.43314982172473765,0.21676407323555108
